Название вакансии,URL,Название компании,Описание
Senior QA Engineer (мануальное тестирование),https://voronezh.hh.ru/vacancy/34327098?query=Python,ООО СофтПро,"Работать в фича команде. Обсуждать требования с аналитиками, дизайнерами и разработчиками. Разрабатывать тест-планы и тест-кейсы. Тестировать ключевые бизнес... Опыт работы тестировщиком на коммерческих проектах не менее 4-х лет (строго не только в банковской сфере). Опыт web/API..."
Python Web Developer,https://voronezh.hh.ru/vacancy/33895741?query=Python, Soshace,"Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours.  Company that makes remote dev work easy"". 3+ years of professional software development experience with JavaScript. 1+ year..."
Machine Learning Engineer Senior,https://voronezh.hh.ru/vacancy/34309176?query=Python, EFSOL,Создания центра компетенций по machine learning и data science. Создание инструмента для самостоятельного обучения моделей для бизнеса. Перевод задач бизнеса... Опыт разработки в области машинного обучения от 3 лет (Python). Знание базовых алгоритмов и структур данных. Промышленный опыт в Machine...
Junior Python Developer,https://voronezh.hh.ru/vacancy/34298708?query=Python,ООО КЭШОФФ,"Разработка и поддержка парсеров. Участие в проектной деятельности, связанной с импортом данных. Знание основ Python. Знание основных принципов и механизмов работы SQL. Опыт применения систем контроля версия (git). Умение работать с готовым..."
Инженер-программист (Python),https://voronezh.hh.ru/vacancy/34191366?query=Python, ЭР-Телеком,Разработка ПО для внутренних нужд организации. 1. Опыт коммерческой разработки на python можно - минимальный. 2. Навыки работы с Linux. 3. Знание SQL(MySql). 4. 
Junior Python Developer (Django),https://voronezh.hh.ru/vacancy/33963469?query=Python, Акрибия,Проектирование и разработка нестандартных распределённых веб-приложений. Проектирование и реализация REST API. Построение связей между различными сервисами. Взаимодействие с тестовым... Опыт работы с Python/Django от 1 года. Опыт работы с REST API. Опыт работы в операционных системах семейства Linux. 
Разработчик Python,https://voronezh.hh.ru/vacancy/33549408?query=Python,ООО Центр недвижимости от Сбербанка,"...Python. Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Разработка бэкэнда для мобильных и веб-приложений на Python.  Опыт работы в области создания программного обеспечения в качестве разработчика от 2 лет. Опыт работы хотя бы с одним из..."
DevOps инженер,https://voronezh.hh.ru/vacancy/34319011?query=Python, MrBot,"Повысить эффективность, качество и предсказуемость доставки существующих приложений. Предложить более эффективную, качественную и предсказуемую систему доставки для новых сервисов.  Организовать безотказную работоспособность сервисов. Знание скриптовых языков: python, bash (или др). Знание систем управления конфигурациями: ansible (или др)."
Python разработчик,https://voronezh.hh.ru/vacancy/33369729?query=Python, RU-CENTER Group,"Сбор и анализ потребления ресурсов клиентами - более двух млн. данных в минуту. Анализ клиентских файлов на наличие уязвимостей.  Наши пожелания к опыту: Опыт разработки на Python, а еще Django и Django REST framework. Опыт разработки юнит-тестов. "
Data Scientist,https://voronezh.hh.ru/vacancy/34139725?query=Python, GFAIVE,"Find, conceptualize and execute optimal ML based solutions to solve business cases for retail clients. Manage, coordinate, prioritize project tasks... Working knowledge Python, ability to work with large databases. Experience working in Agile environment with rapid prototyping and iterative approach..."
Разработчик Python,https://voronezh.hh.ru/vacancy/34321130?query=Python, Сбер Решения,"Разработка, отладка и оптимизация существующих программ. Проектирование и реализация программных систем. Анализ и решение сложных технических проблем. Знание Python и опыт разработки на нем от 2 лет. Желательно знание базовых структур данных и операций над ними. "
Разработчик Python (junior)/стажер,https://voronezh.hh.ru/vacancy/33885651?query=Python, Уральский центр систем безопасности,"участие в проектировании информационных систем. - применение передовых инструментов разработки. Образование направлений информационная безопасность, компьютерные науки. Знания и опыт использования инструментов: Python, Go, Flask, Angular, ELK, Rabbit MQ, Jenkins, Docker. - "
Python разработчик,https://voronezh.hh.ru/vacancy/34322458?query=Python, Новые Облачные Технологии,"Разработка middleware для работы с S3 хранилищами. Разработка сопутствующих подсистем (Поиска/Аутентификации и т.д.). Интеграция решений с существующей... Уверенное владение Python, опыт разработки сетевых приложений. Понимание сетевого стека TCP/IP и основных протоколов. Знание Linux на уровне опытного..."
Python Data Scientist,https://voronezh.hh.ru/vacancy/33840192?query=Python, Web Interactive World,"Работа с большими объемами структурированных и неструктурированных данных. Подготовка данных, выявление закономерностей на признаках, feature engineering. Построение, оценка и внедрение... Хорошая математическая подготовка, владение основами статистики, умение объяснить и доказать полученный результат. Отличное владение Python и ML-стеком (statsmodels, sklearn..."
Разработчик Python,https://voronezh.hh.ru/vacancy/34318985?query=Python,ООО ТЕЛЕКОНТАКТ,"Проектированием и разработкой высоконагруженных и отказоустойчивых сервисов для контакт центра. Поддержкой и развитием уже существующих проектов (Django, Twisted, Tornado).  Имеющего опыт разработки с использованием Python не менее года. Понимающего принципы многопоточного и асинхронного программирования. Владеющего английским на уровне чтения..."
Junior Quantitative Researcher,https://voronezh.hh.ru/vacancy/34106578?query=Python, DataFork,"Подготовка и изучение различных источников данных, имеющих отношение к финансовым рынкам. Разработка предсказательных моделей (модели на основе фундаментального анализа, эконометрики... Понимание принципов разработки алгоритмов (оценка сложности, алгоритмы обработки текста, алгоритмы на графах). Знание Python (pandas, numpy, plotting). Понимание объектно-ориентированного..."
Junior Python Developer,https://voronezh.hh.ru/vacancy/33913313?query=Python, Cloud Linux," Basic algorithms and data structures. Good knowledge of Python and SQL. Shell scripting is a plus. Knowledge of C, PHP..."
Стажер-разработчик Python,https://voronezh.hh.ru/vacancy/29836917?query=Python, ФОГСТРИМ,"Сопровождать/писать с нуля различные веб-сервисы на Python/Django. Теста. Знать, что такое декораторы, middleware, prefetch_related, Q и F объекты. Работа с JavaScript: jQuery, Ajax. Любовь к красивому коду - он..."
Программист Python,https://voronezh.hh.ru/vacancy/34326047?query=Python,ООО Лендсбэй," Уверенное знание python 3.х, с опытом работы от 1 года. Понимание работы asyncio, многопоточности, высоконагруженных приложений. Хорошее знание SQL..."
Data Scientist,https://voronezh.hh.ru/vacancy/34247056?query=Python, BestDoctor,"Модель скоринга. Прогнозирование финансовых рисков. Поиск паттернов аномального поведения клиентов. Анализ расходов, посещений пациентов и аномального поведения клиник.  Знание алгоритмов машинного обучения: линейную регрессию, логистическую регрессию, решающие деревья, градиентный бустинг, etc.. Наш стек на Python, поэтому нужно хорошо..."
Старший программист Python,https://voronezh.hh.ru/vacancy/32913880?query=Python, Softline,"Необходимо расширение и доработка существующего движка чат-бота, написанного на Python и реализованного на микросервисный архитектуре в среде Linux.  Хорошие знания и навыки программирования на Python. Умение разбираться и создавать новые схемы баз данных. Желание и возможность самостоятельно разрабатывать..."
Python Developer,https://voronezh.hh.ru/vacancy/33923247?query=Python,ЗАО ОКБ,Разработка и проектирование frontend’a для продуктов компании. Совместная работа в кросс-функциональной команде. Разработка архитектуры приложения с нуля.  Уверенные знания Python. Проектирование API для взаимодействия сервисов. Владение ОПП; использовать принцип SOLID. Умение писать unit-тесты. Опыт использования шаблонов...
